t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
10.320,10.000,0.000,0.000,0.550,0.174713,-0.000200,0.002226,10.480,594.560,1596,1596,1597,1596
10.360,10.000,0.000,0.000,0.550,0.174673,-0.000152,0.002148,10.480,594.560,1596,1596,1597,1596
10.402,10.000,0.000,0.000,0.550,0.174637,-0.000115,0.002069,10.505,594.580,1596,1596,1597,1596
10.444,10.000,0.000,0.000,0.550,0.174611,-0.000067,0.002050,10.505,594.580,1596,1596,1597,1596
10.485,10.000,0.000,0.000,0.550,0.174611,-0.000067,0.002050,10.505,594.580,1596,1596,1597,1596
10.527,10.000,0.000,0.000,0.550,0.174587,-0.000006,0.001994,10.529,594.600,1596,1596,1596,1597
10.567,10.000,0.000,0.000,0.550,0.174561,0.000032,0.001888,10.529,594.600,1596,1596,1596,1597
10.609,10.000,0.000,0.000,0.550,0.174542,0.000053,0.001769,10.554,594.630,1596,1596,1596,1597
10.649,10.000,0.000,0.000,0.550,0.174532,0.000040,0.001689,10.554,594.630,1596,1596,1596,1597
10.690,10.000,0.000,0.000,0.550,0.174532,0.000040,0.001689,10.554,594.630,1596,1596,1596,1597
10.732,10.000,0.000,0.000,0.550,0.174534,0.000031,0.001578,10.578,594.650,1596,1597,1597,1596
10.772,10.000,0.000,0.000,0.550,0.174588,0.000032,0.001448,10.578,594.650,1596,1597,1597,1596
10.814,10.000,0.000,0.000,0.550,0.174648,0.000038,0.001331,10.602,594.680,1597,1596,1597,1596
10.855,10.000,0.000,0.000,0.550,0.174686,0.000053,0.001266,10.602,594.680,1597,1596,1597,1596
10.895,10.000,0.000,0.000,0.550,0.174686,0.000053,0.001266,10.602,594.680,1597,1596,1597,1596
10.937,10.000,0.000,0.000,0.550,0.174709,0.000085,0.001197,10.627,594.700,1597,1597,1596,1597
10.985,10.000,0.000,0.000,0.550,0.174742,0.000082,0.001122,10.627,594.700,1597,1597,1596,1597
11.027,10.000,0.000,0.000,0.550,0.174774,0.000077,0.001056,10.651,594.730,1596,1597,1597,1596
11.068,10.000,0.000,0.000,0.550,0.174781,0.000052,0.001027,10.651,594.730,1596,1597,1597,1596
11.108,10.000,0.000,0.000,0.550,0.174781,0.000052,0.001027,10.651,594.730,1596,1597,1597,1596
11.150,10.000,0.000,0.000,0.550,0.174793,0.000038,0.000992,10.676,594.750,1596,1597,1597,1596
11.190,10.000,0.000,0.000,0.550,0.174793,0.000034,0.000949,10.676,594.750,1596,1597,1597,1596
11.231,10.000,0.000,0.000,0.550,0.174814,0.000050,0.000924,10.700,594.780,1597,1596,1596,1596
11.272,10.000,0.000,0.000,0.550,0.174836,0.000066,0.000947,10.700,594.780,1597,1596,1596,1596
11.312,10.000,0.000,0.000,0.550,0.174836,0.000066,0.000947,10.700,594.780,1597,1596,1596,1596
11.354,10.000,0.000,0.000,0.550,0.174816,0.000042,0.000954,10.725,594.800,1596,1596,1596,1596
11.395,10.000,0.000,0.000,0.550,0.174802,0.000012,0.000948,10.725,594.800,1596,1596,1596,1596
11.436,10.000,0.000,0.000,0.550,0.174791,0.000003,0.000940,10.749,594.820,1596,1597,1597,1596
11.477,10.000,0.000,0.000,0.550,0.174835,0.000013,0.000961,10.749,594.820,1596,1597,1597,1596
11.518,10.000,0.000,0.000,0.550,0.174866,0.000018,0.000951,10.774,594.850,1596,1596,1596,1597
11.558,10.000,0.000,0.000,0.550,0.174866,0.000018,0.000951,10.774,594.850,1596,1596,1596,1597
11.599,10.000,0.000,0.000,0.550,0.174849,0.000012,0.000910,10.774,594.850,1596,1596,1596,1597
11.640,10.000,0.000,0.000,0.550,0.174838,-0.000005,0.000862,10.799,594.870,1596,1596,1596,1596
11.680,10.000,0.000,0.000,0.550,0.174831,0.000009,0.000839,10.799,594.870,1596,1596,1596,1596
11.721,10.000,0.000,0.000,0.550,0.174831,0.000009,0.000839,10.799,594.870,1596,1596,1596,1596
11.763,10.000,0.000,0.000,0.550,0.174824,0.000076,0.000813,10.823,594.900,1597,1596,1596,1596
11.803,10.000,0.000,0.000,0.550,0.174833,0.000129,0.000794,10.823,594.900,1597,1596,1596,1596
